shrink_mode,lambda,num_trees,ROC AUC,replication
hs,10,1,0.8677499999999999,0
hs,10,2,0.878,0
hs,10,3,0.8770000000000001,0
hs,10,4,0.8895,0
hs,10,5,0.894,0
hs,10,6,0.897,0
hs,10,7,0.899,0
hs,10,8,0.894,0
hs,10,9,0.8919999999999999,0
hs,10,10,0.897,0
hs,10,11,0.894,0
hs,10,12,0.8935,0
hs,10,13,0.8915,0
hs,10,14,0.8925,0
hs,10,15,0.8959999999999999,0
hs,10,16,0.9025,0
hs,10,17,0.902,0
hs,10,18,0.8985,0
hs,10,19,0.8985,0
hs,10,20,0.9,0
hs,10,21,0.8939999999999999,0
hs,10,22,0.8949999999999999,0
hs,10,23,0.8915,0
hs,10,24,0.888,0
hs,10,25,0.8885,0
hs,10,26,0.89,0
hs,10,27,0.8885,0
hs,10,28,0.89,0
hs,10,29,0.8885,0
hs,10,30,0.889,0
hs,10,31,0.8885,0
hs,10,32,0.8895,0
hs,10,33,0.8885,0
hs,10,34,0.8885000000000001,0
hs,10,35,0.888,0
hs,10,36,0.886,0
hs,10,37,0.8875000000000001,0
hs,10,38,0.8875,0
hs,10,39,0.8885,0
hs,10,40,0.8865,0
hs,10,41,0.887,0
hs,10,42,0.8865,0
hs,10,43,0.887,0
hs,10,44,0.8865,0
hs,10,45,0.8865,0
hs,10,46,0.8875000000000001,0
hs,10,47,0.8905000000000001,0
hs,10,48,0.8895,0
hs,10,49,0.89,0
hs,10,50,0.89,0
hs,10,51,0.889,0
hs,10,52,0.891,0
hs,10,53,0.892,0
hs,10,54,0.8915,0
hs,10,55,0.8905,0
hs,10,56,0.8875000000000001,0
hs,10,57,0.888,0
hs,10,58,0.8875,0
hs,10,59,0.887,0
hs,10,60,0.8865000000000001,0
hs,10,61,0.887,0
hs,10,62,0.8875000000000001,0
hs,10,63,0.8885,0
hs,10,64,0.888,0
hs,10,65,0.887,0
hs,10,66,0.887,0
hs,10,67,0.887,0
hs,10,68,0.8875000000000001,0
hs,10,69,0.885,0
hs,10,70,0.884,0
hs,10,71,0.8835000000000001,0
hs,10,72,0.8835000000000001,0
hs,10,73,0.8845,0
hs,10,74,0.884,0
hs,10,75,0.8835000000000001,0
hs,10,76,0.884,0
hs,10,77,0.8835000000000001,0
hs,10,78,0.8835000000000001,0
hs,10,79,0.884,0
hs,10,80,0.8845,0
hs,10,81,0.882,0
hs,10,82,0.8815,0
hs,10,83,0.8815,0
hs,10,84,0.8815,0
hs,10,85,0.8825000000000001,0
hs,10,86,0.8825000000000001,0
hs,10,87,0.881,0
hs,10,88,0.8815,0
hs,10,89,0.8814999999999998,0
hs,10,90,0.881,0
hs,10,91,0.8815000000000001,0
hs,10,92,0.8825000000000001,0
hs,10,93,0.882,0
hs,10,94,0.8825,0
hs,10,95,0.882,0
hs,10,96,0.883,0
hs,10,97,0.8829999999999999,0
hs,10,98,0.882,0
hs,10,99,0.8825,0
hs,10,100,0.8825,0
